"key","value","index"
"28-W15",0,12
"28-W15",0,13
"28-W15",0,14
"28-W15",0,15
"28-W15",0,16
"28-W15",0,17
"28-W15",0,18
"28-W15",0,19
"28-W15",0,20
"28-W15",0,21
"28-W15",0,22
"28-W15",0,23
"28-W15",0,24
"28-W15",0,25
"28-W15",0,26
"28-W15",0,27
"28-W15",0,28
"28-W15",0,29
"28-W15",0,30
"28-W15",0,31
"28-W15",0,32
"28-W15",0,33
"28-W15",0,34
"28-W15",0,35
"28-W15",0,36
"28-W15",0,37
"28-W15",0,38
"28-W15",0,39
"28-W15",0,40
"28-W15",0,41
"28-W15",0,42
"28-W15",0,43
"28-W15",0,44
"28-W15",0,45
"28-W15",0,46
"28-W15",0,47
"28-W15",0,48
"28-W15",0,49
"28-W15",0,50
"28-W15",0,51
"28-W15",0,52
"28-W15",0,53
"28-W15",0,54
"28-W15",0,55
"28-W15",0,56
"28-W15",0,57
"28-W15",0,58
"28-W15",0,59
"28-W15",0,60
"28-W15",0,61
"28-W15",0,62
"28-W15",0,63
"28-W15",0,64
"28-W15",0,65
"28-W15",0,66
"28-W15",0,67
"28-W15",0,68
"28-W15",0,69
"28-W15",0,70
"28-W15",0,71
"28-W15",0,72
"28-W15",0,73
"28-W15",0,74
"28-W15",0,75
"28-W15",0,76
"28-W15",0,77
"28-W15",0,78
"28-W15",0,79
"28-W15",0,80
"21-W33",0.79,1
"21-W33",0.766,2
"21-W33",0.795,3
"21-W33",0.813,4
"21-W33",0.873,5
"21-W33",0.947,6
"21-W33",1.023,7
"21-W33",1.018,8
"21-W33",1.011,9
"21-W33",0.989,10
"21-W33",0.927,11
"21-W33",0.895,12
"21-W33",0.888,13
"21-W33",0.892,14
"21-W33",0.87,15
"21-W33",0.895,16
"21-W33",0.899,17
"21-W33",0.914,18
"21-W33",0.891,19
"21-W33",0.87,20
"21-W33",0.832,21
"21-W33",0.815,22
"21-W33",0.876,23
"21-W33",0.844,24
"21-W33",0.823,25
"21-W33",0.785,26
"21-W33",0.8,27
"21-W33",0.833,28
"21-W33",0.878,29
"21-W33",0.953,30
"21-W33",0.991,31
"21-W33",1.005,32
"21-W33",1.025,33
"21-W33",1.002,34
"21-W33",0.99,35
"21-W33",0.953,36
"21-W33",0.971,37
"21-W33",0.944,38
"21-W33",0.894,39
"21-W33",0.901,40
"21-W33",0.918,41
"21-W33",0.963,42
"21-W33",0.951,43
"21-W33",0.914,44
"21-W33",0.882,45
"21-W33",0.85,46
"21-W33",0.841,47
"21-W33",0.833,48
"21-W33",0.814,49
"21-W33",0.774,50
"21-W33",0.79,51
"21-W33",0.812,52
"21-W33",0.836,53
"21-W33",0.925,54
"21-W33",0.95,55
"21-W33",0.943,56
"21-W33",0.939,57
"21-W33",0.939,58
"21-W33",0.913,59
"21-W33",0.917,60
"21-W33",0.885,61
"21-W33",0.892,62
"21-W33",0.863,63
"21-W33",0.849,64
"21-W33",0.832,65
"21-W33",0.831,66
"21-W33",0.854,67
"21-W33",0.84,68
"21-W33",0.813,69
"21-W33",0.79,70
"21-W33",0.818,71
"21-W33",0.845,72
"21-W33",0,73
"21-W33",0,74
"21-W33",0.801,75
"21-W33",0.825,76
"21-W33",0.868,77
"21-W33",0.948,78
"21-W33",0.994,79
"21-W33",0.995,80
"22-W34",0.806,1
"22-W34",0.783,2
"22-W34",0.812,3
"22-W34",0.829,4
"22-W34",0.889,5
"22-W34",0.964,6
"22-W34",1.04,7
"22-W34",1.034,8
"22-W34",1.028,9
"22-W34",1.006,10
"22-W34",0.944,11
"22-W34",0.911,12
"22-W34",0.905,13
"22-W34",0.909,14
"22-W34",0.887,15
"22-W34",0.912,16
"22-W34",0.916,17
"22-W34",0.931,18
"22-W34",0.908,19
"22-W34",0.887,20
"22-W34",0.849,21
"22-W34",0.832,22
"22-W34",0.893,23
"22-W34",0.861,24
"22-W34",0.827,25
"22-W34",0.788,26
"22-W34",0.804,27
"22-W34",0.837,28
"22-W34",0.881,29
"22-W34",0.957,30
"22-W34",0.994,31
"22-W34",1.008,32
"22-W34",1.028,33
"22-W34",1.006,34
"22-W34",0.993,35
"22-W34",0.959,36
"22-W34",0.975,37
"22-W34",0.947,38
"22-W34",0.898,39
"22-W34",0.904,40
"22-W34",0.921,41
"22-W34",0.967,42
"22-W34",0.954,43
"22-W34",0.917,44
"22-W34",0.886,45
"22-W34",0.854,46
"22-W34",0.844,47
"22-W34",0.836,48
"22-W34",0.841,49
"22-W34",0.802,50
"22-W34",0.817,51
"22-W34",0.84,52
"22-W34",0.864,53
"22-W34",0.953,54
"22-W34",0.978,55
"22-W34",0.971,56
"22-W34",0.967,57
"22-W34",0.966,58
"22-W34",0.941,59
"22-W34",0.945,60
"22-W34",0.913,61
"22-W34",0.92,62
"22-W34",0.891,63
"22-W34",0.876,64
"22-W34",0.86,65
"22-W34",0.859,66
