"id","start","end","curve"
"20003","16112","16115",10
"20004","16113","16116",11
"20005","16114","16117",12
"20011","16528","8772",1
"20019","16668","16667",3
"20020","16670","16669",4
"20021","16672","16671",5
"20022","16679","16678",6
"20023","16681","16680",7
