"name","demand","degree","strength","closeness","betweenness","eccentricity","tank_distance"
"11677",0.17296518,2,250.207,1.95095026187246e-09,16215,371,136
"11678",0.46821594,2,230.797,1.93802629055805e-09,17350,370,135
"11679",0.46821594,2,306.059,1.94200784147511e-09,31050,369,134
"1168",1.38994742,3,1882.703,2.20285777314706e-09,906608,315,3
"11680",0.37770743,2,203.374,1.97401260585244e-09,99830,371,136
"11681",0.5540168,2,377.32,1.97245971432576e-09,86153,366,131
"11682",0.5540168,2,467.243,1.98301567600429e-09,100570,365,130
"11683",0.44040841,2,169.435,2.05042535418949e-09,33606,360,125
"11684",0.44040841,2,549.845,2.04242459694433e-09,18897,359,124
"11685",0.40092373,2,231.031,2.07545769109449e-09,30922,355,120
"11686",0.40092373,2,334.496,2.08131595983057e-09,44631,354,119
"11687",0.40092373,2,373.851,2.09547078983269e-09,58429,353,118
"11688",0.40092373,2,210.662,2.10407155895946e-09,72455,352,117
"11689",0.40092373,2,326.447,2.10862614647156e-09,86642,351,116
"1169",0.30587328,2,127.86,2.13065197384535e-09,17008,320,8
"11690",0.20393702,2,218.381,2.09810955737518e-09,130140,353,118
"11691",0.20393702,2,241.475,2.10801853891873e-09,144227,352,117
"11692",0.23476924,2,335.744,2.08038851497941e-09,1520,355,120
"11693",0.23476924,2,315.125,2.08812545000608e-09,1264,354,119
"11694",0.23476924,2,90.398,2.09285084833781e-09,15494,353,118
"11695",0.51796018,2,290.635,2.0345906332688e-09,17486,359,124
"11696",0.51796018,2,168.801,2.04265403091453e-09,31414,358,123
"11697",0.1376258,2,268.103,1.990393883093e-09,15857,366,131
"11698",0.1376258,2,237.754,1.98226626783812e-09,2050,367,132
"11699",0.1376258,2,167.106,1.98090056137758e-09,2639,368,133
"117",0.28130531,3,408.814,1.87505139707314e-09,78057,362,145
"1170",0.61174656,2,482.945,2.1258618894766e-09,2060,321,9
"11700",0.09851739,2,265.142,2.00102744439736e-09,193535,366,131
"11701",0.09851739,2,200.899,2.00661799489911e-09,207493,365,130
"11702",0.09851739,2,131.414,2.01238606052463e-09,221588,364,129
"11703",0,1,81.152,2.0072563325463e-09,0,364,129
"11704",0.09058317,2,82.137,2.03305739441665e-09,508571,359,124
"11705",0.09058317,2,252.422,2.03191302665311e-09,493715,360,125
"11706",0.09058317,2,262.824,2.01775478258354e-09,479205,361,126
"11707",0.28955854,2,314.059,2.07830636392825e-09,1407119,353,118
"11708",0.28497973,2,177.46,2.09630722109042e-09,102481,353,118
"11709",0.28497973,2,90.978,2.0919746780647e-09,87676,354,119
"1171",0.39952781,3,411.873,2.15804374122971e-09,109125,321,9
"11710",0.28497973,2,222.513,2.09039751492589e-09,72950,355,120
"11711",0.28497973,2,382.232,2.07773556458418e-09,58227,356,121
"11712",0.28497973,2,300.246,2.06638869461756e-09,43878,357,122
"11713",0.28497973,2,262.542,2.05948870374804e-09,29909,358,123
"11714",0.28497973,2,271.993,2.05086244103134e-09,15963,358,123
"11715",0.28497973,2,168.994,2.04355585695581e-09,2072,357,122
"11716",0.11503788,2,185.985,2.53387976390171e-09,715923,321,75
"11717",0.11503788,2,181.076,2.54163004684787e-09,730803,320,74
"11718",0.4441289,2,431.981,2.57332886613159e-09,18169594,317,71
"11719",0.18177361,2,233.36,2.60189694173714e-09,18286326,312,66
"1172",0.60672811,2,674.451,2.16108110401063e-09,120619,322,10
"11720",0.18177361,2,270.754,2.61280732895436e-09,18294684,311,65
"11721",0.18191418,2,273.537,2.58134801287123e-09,104930,316,70
"11722",0.18191418,2,325.687,2.56237835430589e-09,89946,317,71
"11723",0.18191418,2,201.041,2.54923299419904e-09,74960,318,72
"11724",0.23924317,2,117.584,2.04030462688619e-09,474137,357,122
"11725",0.21557992,2,166.583,2.02770059749576e-09,14996,360,125
"11726",0.10778996,1,66.249,2.02362408828006e-09,0,361,126
"11727",0.76087262,2,209.52,2.02658546132973e-09,228549,358,123
"11728",0.76087262,2,351.705,2.02282372058551e-09,213611,359,124
"11729",0.76087262,2,1004.769,2.00523526323963e-09,198673,360,125
"1173",0.19787683,2,178.608,2.1510275327603e-09,3042,322,10
"11730",0.61531484,2,894.003,1.9768430894363e-09,87301,361,126
"11731",0.08263228,2,44.602,1.99111536940291e-09,119679,364,129
"11732",0.08263228,2,34.87,1.99020399324081e-09,104701,365,130
"11733",0.08263228,2,115.548,1.98904675452672e-09,89721,366,131
"11734",0.41936337,2,528.959,2.59393454870259e-09,21766,308,62
"11735",0.41936337,2,622.207,2.61207103189840e-09,30261,307,61
"11736",0.41936337,2,446.725,2.63021627693794e-09,38866,306,60
"11737",0.07404668,2,187.737,2.63409371004708e-09,11760,307,61
"11738",0.05304596,2,213.453,2.65392073575164e-09,18372067,304,58
"11739",0.08120144,2,256.707,2.53109819988455e-09,29988,320,74
"1174",0.44866127,2,172.155,2.15584732909996e-09,14996,325,13
"11740",0.13487217,2,163.561,2.66278483882526e-09,11893,303,57
"11741",0.12849336,2,205.817,2.65459952230987e-09,3090,304,58
"11742",0.06428698,1,31.074,2.67067574149891e-09,0,300,54
"11743",0.24338288,2,195.565,2.64409710318353e-09,65239,303,57
"11744",0.24338288,2,269.666,2.65168376459363e-09,74073,302,56
"11745",0.24338288,2,231.233,2.66089584299467e-09,82942,301,55
"11746",0.08393314,2,137.417,2.67507589694306e-09,118609,300,54
"11747",0.08393314,2,162.89,2.68050228020822e-09,130532,299,53
"11748",0.08393314,2,154.743,2.69028394395835e-09,145504,298,52
"11749",0.31191186,2,165.355,2.141946852067e-09,15409,335,24
"1175",0.44866127,1,144.19,2.14584440888983e-09,0,326,14
"11750",0.31191186,2,205.501,2.14750100119797e-09,30366,336,25
"11751",0.12583412,2,254.553,1.94915603904375e-09,5000,363,128
"11752",0.17914167,2,158.371,1.95621416042406e-09,17018,364,129
"11753",0.40286854,2,466.425,1.96934379604697e-09,29926,369,134
"11754",0.40286854,2,481.164,1.95202059344743e-09,14987,369,134
"11755",0.40286854,2,291.714,1.94187885474151e-09,129,368,133
"11756",0.40286854,2,163.614,1.93640893576947e-09,227,367,132
"11757",0.20441831,1,241.26,1.89219901313036e-09,0,367,132
"11758",0.38222648,2,190.318,1.90889315570821e-09,14996,366,131
"11759",0.19111324,1,76.584,1.90471749052624e-09,0,367,132
"1176",0.48462766,3,276.408,2.15779789711201e-09,47334,324,12
"11760",0.12752342,1,236.747,2.74531760393838e-09,0,300,36
"11761",0.09578806,2,205.339,2.77943162785755e-09,15019877,296,32
"11762",0.09578806,2,145.458,2.78590087102553e-09,15026991,295,31
"11763",0.40823669,2,466.126,2.79566210071726e-09,117081,294,30
"11764",0.40823669,2,593.47,2.82459780382405e-09,126179,293,29
"11765",0.44072522,2,226.262,2.77560797981551e-09,60291,295,31
"11766",0.44072522,2,616.064,2.78233268885987e-09,60933,294,30
"11767",0.44072522,2,657.778,2.8187222775611e-09,70498,293,29
"11768",0.26507862,2,154.326,2.51788485884985e-09,592652,324,78
"11769",0.08540359,2,118.962,2.44283011098587e-09,14996,334,88
"1177",0.45969045,4,605.796,2.13716914426818e-09,90083,325,13
"11770",0.04270179,1,76.134,2.43603602481864e-09,0,335,89
"11771",0,2,289.464,2.43243850887326e-09,29990,335,89
"11772",0,2,189.22,2.44576250033909e-09,44982,334,88
"11773",0.11029407,2,138.512,2.45469109290906e-09,404190,331,85
"11774",0.18823051,2,289.81,2.46677830904676e-09,206762,329,83
"11775",0.30446606,2,308.017,2.42338031735648e-09,74960,335,89
"11776",0.30446606,2,244.13,2.43765649200141e-09,89946,334,88
"11777",0.30446606,2,133.807,2.44505724926359e-09,104930,333,87
"11778",0,2,187.547,2.42502639388754e-09,89946,337,91
"11779",0,2,241.32,2.41545640215816e-09,74960,338,92
"11780",0.44657908,2,227.603,2.39548330830279e-09,29990,340,94
"11781",0.21746537,2,249.181,2.53751816733395e-09,29990,287,66
"11782",0.21746537,2,160.566,2.54656946002986e-09,44982,286,65
"11783",0.21746537,2,349.376,2.55311254531514e-09,59972,285,64
"11784",0.21746537,2,341.576,2.58098775556277e-09,74960,284,63
"11785",0.21746537,2,218.572,2.58692484717949e-09,89946,283,62
"11786",0.21746537,2,324.03,2.60299150658313e-09,104930,282,61
"11787",0.21746537,2,280.697,2.61982819796906e-09,119912,281,60
"11788",0.21746537,2,143.941,2.63179924289173e-09,134892,280,59
