"chain_id","vertex_name"
1,"12"
1,"10433"
1,"10"
2,"10000"
3,"10001"
4,"10004"
4,"10017"
5,"10006"
6,"10007"
6,"10009"
7,"10011"
8,"10014"
9,"10015"
9,"14965"
10,"10016"
10,"14967"
10,"14971"
10,"14970"
10,"14969"
10,"10034"
11,"10022"
11,"10019"
12,"1002"
12,"11133"
12,"11132"
12,"11131"
12,"11130"
12,"11129"
12,"1006"
12,"1005"
12,"1047"
13,"10021"
13,"14968"
14,"10026"
14,"10025"
15,"10028"
16,"11128"
16,"1004"
16,"1003"
17,"10030"
17,"10031"
17,"10032"
18,"10036"
18,"10035"
19,"10038"
19,"14972"
19,"10035"
19,"10036"
20,"10039"
20,"14973"
20,"10062"
20,"10063"
20,"14988"
21,"10040"
21,"14974"
21,"14975"
21,"14976"
22,"10044"
22,"14977"
23,"14979"
23,"14978"
23,"10046"
23,"10045"
24,"10049"
25,"10052"
25,"10051"
26,"10058"
26,"14985"
27,"10061"
28,"10064"
29,"10066"
29,"10067"
30,"10069"
30,"10068"
31,"1008"
31,"1007"
32,"10070"
32,"10071"
33,"10026"
33,"10025"
33,"10073"
34,"10076"
34,"14989"
35,"14991"
35,"10079"
36,"10081"
37,"10083"
37,"10084"
38,"10086"
38,"14992"
39,"10087"
39,"10088"
39,"14993"
39,"14994"
40,"10091"
40,"10092"
41,"10095"
41,"14995"
41,"10101"
42,"10096"
43,"10098"
43,"10097"
44,"101"
44,"10517"
45,"1010"
45,"11135"
45,"1007"
45,"1008"
46,"10102"
46,"10108"
47,"10103"
47,"10149"
47,"15005"
48,"10105"
49,"10107"
49,"14996"
49,"14997"
50,"11136"
50,"1012"
50,"1011"
51,"10112"
52,"10115"
52,"10116"
52,"14998"
52,"14999"
52,"10119"
53,"10118"
54,"10121"
55,"10122"
56,"10125"
57,"10127"
58,"10131"
59,"10133"
60,"10135"
60,"15000"
61,"10136"
61,"15001"
61,"15002"
62,"10137"
62,"10139"
63,"1014"
64,"10140"
65,"10142"
66,"10143"
67,"10144"
68,"15004"
68,"10145"
69,"10148"
70,"10152"
70,"10151"
71,"10154"
71,"10153"
72,"10157"
72,"10156"
73,"10158"
73,"15006"
73,"15007"
73,"10165"
73,"10166"
73,"15008"
74,"1016"
74,"11137"
74,"11138"
75,"10157"
75,"10156"
75,"10160"
76,"10161"
76,"10163"
76,"10162"
76,"10164"
77,"10168"
78,"11142"
78,"11141"
78,"11140"
78,"11139"
78,"1017"
79,"10170"
79,"10177"
79,"15011"
79,"15012"
79,"15013"
79,"15014"
79,"15015"
79,"15016"
79,"15017"
79,"15018"
79,"10200"
79,"10201"
80,"10172"
80,"15009"
80,"15010"
81,"10173"
82,"10175"
83,"10179"
83,"15019"
84,"10184"
84,"10180"
85,"10182"
85,"10181"
86,"10186"
87,"15020"
87,"10190"
87,"10189"
88,"10192"
88,"15021"
89,"15020"
89,"10190"
89,"10189"
89,"10194"
90,"10197"
91,"10198"
92,"10519"
92,"10518"
92,"102"
93,"10203"
94,"10204"
94,"10210"
95,"10205"
95,"10206"
96,"11143"
96,"1021"
97,"10213"
98,"10216"
99,"10218"
99,"10217"
100,"10219"
101,"1022"
101,"11144"
101,"11145"
101,"11146"
102,"10222"
102,"10221"
103,"10223"
104,"10226"
104,"10227"
104,"10230"
104,"10229"
104,"15082"
104,"10338"
105,"15024"
105,"10231"
106,"15025"
106,"10232"
107,"15027"
107,"10233"
108,"15029"
108,"10234"
109,"10236"
109,"15031"
110,"10238"
111,"1024"
111,"11148"
111,"11149"
112,"10240"
112,"15033"
113,"10241"
113,"15035"
113,"15036"
113,"15037"
114,"15038"
114,"10242"
115,"10244"
115,"9735"
115,"9736"
116,"1025"
117,"10250"
118,"10252"
118,"15041"
119,"10254"
120,"10256"
120,"15043"
120,"15044"
121,"10261"
121,"15045"
121,"15046"
122,"10263"
122,"15057"
122,"15056"
122,"15055"
122,"15054"
122,"15053"
122,"10270"
122,"10269"
122,"15061"
122,"15060"
122,"10282"
123,"10265"
123,"15047"
123,"15048"
123,"15049"
124,"10267"
124,"15050"
124,"15051"
125,"10268"
125,"15052"
126,"1027"
127,"10271"
127,"15058"
128,"10276"
